BadIndex	Word	Freq
1345	Jakub	32
1346	S.	32
1347	Symjenja	32
1348	ani	32
1349	chětro	32
1350	drje	32
1351	drjewo	32
1352	hrube	32
1353	južnym	32
1354	knježerstwa	32
1355	kćenjowych	32
1356	micki	32
1357	mjenowane	32
1358	morju	32
1359	naha	32
1360	němskich	32
1361	podobne	32
1362	serbsku	32
1363	spěšnje	32
1364	sćeńka	32
1365	słowjanskich	32
1366	tohorunja	32
1367	und	32
1368	werby	32
1369	wosady	32
1370	wyše	32
1371	zemje	32
1372	čumpate	32
1373	škleńčicowych	32
1374	šćěrjencowych	32
1375	17	31
1376	1943	31
1377	24	31
1378	Alchemilla	31
1379	Asparagaceae	31
1380	Boraginaceae	31
1381	Drježdźanach	31
1382	Ke	31
1383	Pola	31
1384	Radworju	31
1385	Sorta	31
1386	Stołpikowe	31
1387	hrubje	31
1388	japonica	31
1389	jedneho	31
1390	jeničke	31
1391	kisałe	31
1392	l.	31
1393	minister	31
1394	mjenowana	31
1395	morjom	31
1396	najwjetšich	31
1397	nalětnika	31
1398	poda	31
1399	porstnik	31
1400	přińdźe	31
1401	rozdźělene	31
1402	sewjer	31
1403	wobchad	31
1404	wódrakowych	31
1405	započa	31
1406	zawod	31
1407	zelišćowa	31
1408	zwonka	31
1409	čěski	31
1410	1778	30
1411	1780	30
1412	1926	30
1413	1931	30
1414	1934	30
1415	1942	30
1416	1955	30
1417	1972	30
1418	95	30
1419	Africe	30
1420	Carl	30
1421	Drježdźan	30
1422	Druhe	30
1423	Geraniaceae	30
1424	HTML	30
1425	Nadeńdźe	30
1426	Něhdźe	30
1427	Zahrodna	30
1428	barbjenje	30
1429	dyrbješe	30
1430	horiny	30
1431	hromakowych	30
1432	jednu	30
1433	jutrownika	30
1434	kićach	30
1435	kwadratnych	30
1436	mlóčeń	30
1437	mnoholičbne	30
1438	nalěću	30
1439	njebě	30
1440	njerodźowych	30
1441	noweho	30
1442	palmowych	30
1443	pluwizny	30
1444	prěnjeho	30
1445	pyskawa	30
1446	płotach	30
1447	přirjaduje	30
1448	rólu	30
1449	sewjerozapadnje	30
1450	syćina	30
1451	tekst	30
1452	winicach	30
1453	wobraz	30
1454	wuchodnym	30
1455	wurostki	30
1456	wuwzaća	30
1457	wuzwoli	30
1458	wysokosćach	30
1459	čo.	30
1460	Łobja	30
1461	1914	29
1462	Delnja	29
1463	Druhej	29
1464	Eksistuja	29
1465	Rubus	29
1466	Trifolium	29
1467	Wšě	29
1468	dobje	29
1469	dźělene	29
1470	horin	29
1471	hornje	29
1472	hłowne	29
1473	hłójčkach	29
1474	jednotliwych	29
1475	krajow	29
1476	kulturne	29
1477	kćěwa	29
1478	lědma	29
1479	małki	29
1480	mutličkach	29
1481	myto	29
1482	móc	29
1483	módre	29
1484	měšanych	29
1485	n.	29
1486	normalnej	29
1487	nulu	29
1488	polu	29
1489	poł	29
1490	prawdźepodobnje	29
1491	prawo	29
1492	próškowe	29
1493	přesydli	29
1494	rodej	29
1495	rozeznawa	29
1496	rum	29
1497	slědowaše	29
1498	sobustaw	29
1499	spočatka	29
1500	srjedźowěku	29
1501	studij	29
1502	syć	29
